id,title,description,category,price,brand,search_text
57,Fine Mesh Strainer,The Fine Mesh Strainer is a versatile tool for straining liquids and sifting dry ingredients. Its fine mesh ensures efficient filtering for smooth cooking and baking.,kitchen-accessories,9.99,unknown,fine mesh strainer. kitchen-accessories. the fine mesh strainer is a versatile tool for straining liquids and sifting dry ingredients. its fine mesh ensures efficient filtering for smooth cooking and baking.
58,Fork,The Fork is a classic utensil for various dining and serving purposes. Its durable and ergonomic design makes it a reliable choice for everyday use.,kitchen-accessories,3.99,unknown,fork. kitchen-accessories. the fork is a classic utensil for various dining and serving purposes. its durable and ergonomic design makes it a reliable choice for everyday use.
59,Glass,The Glass is a versatile and elegant drinking vessel suitable for a variety of beverages. Its clear design allows you to enjoy the colors and textures of your drinks.,kitchen-accessories,4.99,unknown,glass. kitchen-accessories. the glass is a versatile and elegant drinking vessel suitable for a variety of beverages. its clear design allows you to enjoy the colors and textures of your drinks.
60,Grater Black,"The Grater in Black is a handy kitchen tool for grating cheese, vegetables, and more. Its sleek design and sharp blades make food preparation efficient and easy.",kitchen-accessories,10.99,unknown,"grater black. kitchen-accessories. the grater in black is a handy kitchen tool for grating cheese, vegetables, and more. its sleek design and sharp blades make food preparation efficient and easy."
61,Hand Blender,"The Hand Blender is a versatile kitchen appliance for blending, pureeing, and mixing. Its compact design and powerful motor make it a convenient tool for various recipes.",kitchen-accessories,34.99,unknown,"hand blender. kitchen-accessories. the hand blender is a versatile kitchen appliance for blending, pureeing, and mixing. its compact design and powerful motor make it a convenient tool for various recipes."
62,Ice Cube Tray,The Ice Cube Tray is a practical accessory for making ice cubes in various shapes. Perfect for keeping your drinks cool and adding a fun element to your beverages.,kitchen-accessories,5.99,unknown,ice cube tray. kitchen-accessories. the ice cube tray is a practical accessory for making ice cubes in various shapes. perfect for keeping your drinks cool and adding a fun element to your beverages.
63,Kitchen Sieve,The Kitchen Sieve is a versatile tool for sifting and straining dry and wet ingredients. Its fine mesh design ensures smooth results in your cooking and baking.,kitchen-accessories,7.99,unknown,kitchen sieve. kitchen-accessories. the kitchen sieve is a versatile tool for sifting and straining dry and wet ingredients. its fine mesh design ensures smooth results in your cooking and baking.
64,Knife,"The Knife is an essential kitchen tool for chopping, slicing, and dicing. Its sharp blade and ergonomic handle make it a reliable choice for food preparation.",kitchen-accessories,14.99,unknown,"knife. kitchen-accessories. the knife is an essential kitchen tool for chopping, slicing, and dicing. its sharp blade and ergonomic handle make it a reliable choice for food preparation."
65,Lunch Box,"The Lunch Box is a convenient and portable container for packing and carrying your meals. With compartments for different foods, it's perfect for on-the-go dining.",kitchen-accessories,12.99,unknown,"lunch box. kitchen-accessories. the lunch box is a convenient and portable container for packing and carrying your meals. with compartments for different foods, it's perfect for on-the-go dining."
66,Microwave Oven,"The Microwave Oven is a versatile kitchen appliance for quick and efficient cooking, reheating, and defrosting. Its compact size makes it suitable for various kitchen setups.",kitchen-accessories,89.99,unknown,"microwave oven. kitchen-accessories. the microwave oven is a versatile kitchen appliance for quick and efficient cooking, reheating, and defrosting. its compact size makes it suitable for various kitchen setups."
67,Mug Tree Stand,The Mug Tree Stand is a stylish and space-saving solution for organizing your mugs. Keep your favorite mugs easily accessible and neatly displayed in your kitchen.,kitchen-accessories,15.99,unknown,mug tree stand. kitchen-accessories. the mug tree stand is a stylish and space-saving solution for organizing your mugs. keep your favorite mugs easily accessible and neatly displayed in your kitchen.
68,Pan,"The Pan is a versatile and essential cookware item for frying, sautéing, and cooking various dishes. Its non-stick coating ensures easy food release and cleanup.",kitchen-accessories,24.99,unknown,"pan. kitchen-accessories. the pan is a versatile and essential cookware item for frying, sautéing, and cooking various dishes. its non-stick coating ensures easy food release and cleanup."
69,Plate,The Plate is a classic and essential dishware item for serving meals. Its durable and stylish design makes it suitable for everyday use or special occasions.,kitchen-accessories,3.99,unknown,plate. kitchen-accessories. the plate is a classic and essential dishware item for serving meals. its durable and stylish design makes it suitable for everyday use or special occasions.
70,Red Tongs,The Red Tongs are versatile kitchen tongs suitable for various cooking and serving tasks. Their vibrant color adds a pop of excitement to your kitchen utensils.,kitchen-accessories,6.99,unknown,red tongs. kitchen-accessories. the red tongs are versatile kitchen tongs suitable for various cooking and serving tasks. their vibrant color adds a pop of excitement to your kitchen utensils.
71,Silver Pot With Glass Cap,"The Silver Pot with Glass Cap is a stylish and functional cookware item for boiling, simmering, and preparing delicious meals. Its glass cap allows you to monitor cooking progress.",kitchen-accessories,39.99,unknown,"silver pot with glass cap. kitchen-accessories. the silver pot with glass cap is a stylish and functional cookware item for boiling, simmering, and preparing delicious meals. its glass cap allows you to monitor cooking progress."
72,Slotted Turner,"The Slotted Turner is a kitchen utensil designed for flipping and turning food items. Its slotted design allows excess liquid to drain, making it ideal for frying and sautéing.",kitchen-accessories,8.99,unknown,"slotted turner. kitchen-accessories. the slotted turner is a kitchen utensil designed for flipping and turning food items. its slotted design allows excess liquid to drain, making it ideal for frying and sautéing."
73,Spice Rack,The Spice Rack is a convenient organizer for your spices and seasonings. Keep your kitchen essentials within reach and neatly arranged with this stylish spice rack.,kitchen-accessories,19.99,unknown,spice rack. kitchen-accessories. the spice rack is a convenient organizer for your spices and seasonings. keep your kitchen essentials within reach and neatly arranged with this stylish spice rack.
74,Spoon,"The Spoon is a versatile kitchen utensil for stirring, serving, and tasting. Its ergonomic design and durable construction make it an essential tool for every kitchen.",kitchen-accessories,4.99,unknown,"spoon. kitchen-accessories. the spoon is a versatile kitchen utensil for stirring, serving, and tasting. its ergonomic design and durable construction make it an essential tool for every kitchen."
75,Tray,"The Tray is a functional and decorative item for serving snacks, appetizers, or drinks. Its stylish design makes it a versatile accessory for entertaining guests.",kitchen-accessories,16.99,unknown,"tray. kitchen-accessories. the tray is a functional and decorative item for serving snacks, appetizers, or drinks. its stylish design makes it a versatile accessory for entertaining guests."
76,Wooden Rolling Pin,The Wooden Rolling Pin is a classic kitchen tool for rolling out dough for baking. Its smooth surface and sturdy handles make it easy to achieve uniform thickness.,kitchen-accessories,11.99,unknown,wooden rolling pin. kitchen-accessories. the wooden rolling pin is a classic kitchen tool for rolling out dough for baking. its smooth surface and sturdy handles make it easy to achieve uniform thickness.
77,Yellow Peeler,The Yellow Peeler is a handy tool for peeling fruits and vegetables with ease. Its bright yellow color adds a cheerful touch to your kitchen gadgets.,kitchen-accessories,5.99,unknown,yellow peeler. kitchen-accessories. the yellow peeler is a handy tool for peeling fruits and vegetables with ease. its bright yellow color adds a cheerful touch to your kitchen gadgets.
78,Apple MacBook Pro 14 Inch Space Grey,"The MacBook Pro 14 Inch in Space Grey is a powerful and sleek laptop, featuring Apple's M1 Pro chip for exceptional performance and a stunning Retina display.",laptops,1999.99,Apple,"apple macbook pro 14 inch space grey. laptops. the macbook pro 14 inch in space grey is a powerful and sleek laptop, featuring apple's m1 pro chip for exceptional performance and a stunning retina display."
79,Asus Zenbook Pro Dual Screen Laptop,"The Asus Zenbook Pro Dual Screen Laptop is a high-performance device with dual screens, providing productivity and versatility for creative professionals.",laptops,1799.99,Asus,"asus zenbook pro dual screen laptop. laptops. the asus zenbook pro dual screen laptop is a high-performance device with dual screens, providing productivity and versatility for creative professionals."
80,Huawei Matebook X Pro,"The Huawei Matebook X Pro is a slim and stylish laptop with a high-resolution touchscreen display, offering a premium experience for users on the go.",laptops,1399.99,Huawei,"huawei matebook x pro. laptops. the huawei matebook x pro is a slim and stylish laptop with a high-resolution touchscreen display, offering a premium experience for users on the go."
81,Lenovo Yoga 920,"The Lenovo Yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability.",laptops,1099.99,Lenovo,"lenovo yoga 920. laptops. the lenovo yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability."
82,New DELL XPS 13 9300 Laptop,"The New DELL XPS 13 9300 Laptop is a compact and powerful device, featuring a virtually borderless InfinityEdge display and high-end performance for various tasks.",laptops,1499.99,Dell,"new dell xps 13 9300 laptop. laptops. the new dell xps 13 9300 laptop is a compact and powerful device, featuring a virtually borderless infinityedge display and high-end performance for various tasks."
83,Blue & Black Check Shirt,"The Blue & Black Check Shirt is a stylish and comfortable men's shirt featuring a classic check pattern. Made from high-quality fabric, it's suitable for both casual and semi-formal occasions.",mens-shirts,29.99,Fashion Trends,"blue & black check shirt. mens-shirts. the blue & black check shirt is a stylish and comfortable men's shirt featuring a classic check pattern. made from high-quality fabric, it's suitable for both casual and semi-formal occasions."
84,Gigabyte Aorus Men Tshirt,"The Gigabyte Aorus Men Tshirt is a cool and casual shirt for gaming enthusiasts. With the Aorus logo and sleek design, it's perfect for expressing your gaming style.",mens-shirts,24.99,Gigabyte,"gigabyte aorus men tshirt. mens-shirts. the gigabyte aorus men tshirt is a cool and casual shirt for gaming enthusiasts. with the aorus logo and sleek design, it's perfect for expressing your gaming style."
85,Man Plaid Shirt,The Man Plaid Shirt is a timeless and versatile men's shirt with a classic plaid pattern. Its comfortable fit and casual style make it a wardrobe essential for various occasions.,mens-shirts,34.99,Classic Wear,man plaid shirt. mens-shirts. the man plaid shirt is a timeless and versatile men's shirt with a classic plaid pattern. its comfortable fit and casual style make it a wardrobe essential for various occasions.
86,Man Short Sleeve Shirt,"The Man Short Sleeve Shirt is a breezy and stylish option for warm days. With a comfortable fit and short sleeves, it's perfect for a laid-back yet polished look.",mens-shirts,19.99,Casual Comfort,"man short sleeve shirt. mens-shirts. the man short sleeve shirt is a breezy and stylish option for warm days. with a comfortable fit and short sleeves, it's perfect for a laid-back yet polished look."
87,Men Check Shirt,"The Men Check Shirt is a classic and versatile shirt featuring a stylish check pattern. Suitable for various occasions, it adds a smart and polished touch to your wardrobe.",mens-shirts,27.99,Urban Chic,"men check shirt. mens-shirts. the men check shirt is a classic and versatile shirt featuring a stylish check pattern. suitable for various occasions, it adds a smart and polished touch to your wardrobe."
88,Nike Air Jordan 1 Red And Black,"The Nike Air Jordan 1 in Red and Black is an iconic basketball sneaker known for its stylish design and high-performance features, making it a favorite among sneaker enthusiasts and athletes.",mens-shoes,149.99,Nike,"nike air jordan 1 red and black. mens-shoes. the nike air jordan 1 in red and black is an iconic basketball sneaker known for its stylish design and high-performance features, making it a favorite among sneaker enthusiasts and athletes."
89,Nike Baseball Cleats,Nike Baseball Cleats are designed for maximum traction and performance on the baseball field. They provide stability and support for players during games and practices.,mens-shoes,79.99,Nike,nike baseball cleats. mens-shoes. nike baseball cleats are designed for maximum traction and performance on the baseball field. they provide stability and support for players during games and practices.
90,Puma Future Rider Trainers,"The Puma Future Rider Trainers offer a blend of retro style and modern comfort. Perfect for casual wear, these trainers provide a fashionable and comfortable option for everyday use.",mens-shoes,89.99,Puma,"puma future rider trainers. mens-shoes. the puma future rider trainers offer a blend of retro style and modern comfort. perfect for casual wear, these trainers provide a fashionable and comfortable option for everyday use."
91,Sports Sneakers Off White & Red,"The Sports Sneakers in Off White and Red combine style and functionality, making them a fashionable choice for sports enthusiasts. The red and off-white color combination adds a bold and energetic touch.",mens-shoes,119.99,Off White,"sports sneakers off white & red. mens-shoes. the sports sneakers in off white and red combine style and functionality, making them a fashionable choice for sports enthusiasts. the red and off-white color combination adds a bold and energetic touch."
92,Sports Sneakers Off White Red,"Another variant of the Sports Sneakers in Off White Red, featuring a unique design. These sneakers offer style and comfort for casual occasions.",mens-shoes,109.99,Off White,"sports sneakers off white red. mens-shoes. another variant of the sports sneakers in off white red, featuring a unique design. these sneakers offer style and comfort for casual occasions."
93,Brown Leather Belt Watch,"The Brown Leather Belt Watch is a stylish timepiece with a classic design. Featuring a genuine leather strap and a sleek dial, it adds a touch of sophistication to your look.",mens-watches,89.99,Fashion Timepieces,"brown leather belt watch. mens-watches. the brown leather belt watch is a stylish timepiece with a classic design. featuring a genuine leather strap and a sleek dial, it adds a touch of sophistication to your look."
94,Longines Master Collection,"The Longines Master Collection is an elegant and refined watch known for its precision and craftsmanship. With a timeless design, it's a symbol of luxury and sophistication.",mens-watches,1499.99,Longines,"longines master collection. mens-watches. the longines master collection is an elegant and refined watch known for its precision and craftsmanship. with a timeless design, it's a symbol of luxury and sophistication."
95,Rolex Cellini Date Black Dial,"The Rolex Cellini Date with Black Dial is a classic and prestigious watch. With a black dial and date complication, it exudes sophistication and is a symbol of Rolex's heritage.",mens-watches,8999.99,Rolex,"rolex cellini date black dial. mens-watches. the rolex cellini date with black dial is a classic and prestigious watch. with a black dial and date complication, it exudes sophistication and is a symbol of rolex's heritage."
96,Rolex Cellini Moonphase,"The Rolex Cellini Moonphase is a masterpiece of horology, featuring a moon phase complication and exquisite design. It reflects Rolex's commitment to precision and elegance.",mens-watches,12999.99,Rolex,"rolex cellini moonphase. mens-watches. the rolex cellini moonphase is a masterpiece of horology, featuring a moon phase complication and exquisite design. it reflects rolex's commitment to precision and elegance."
97,Rolex Datejust,"The Rolex Datejust is an iconic and versatile timepiece with a date window. Known for its timeless design and reliability, it's a symbol of Rolex's watchmaking excellence.",mens-watches,10999.99,Rolex,"rolex datejust. mens-watches. the rolex datejust is an iconic and versatile timepiece with a date window. known for its timeless design and reliability, it's a symbol of rolex's watchmaking excellence."
98,Rolex Submariner Watch,"The Rolex Submariner is a legendary dive watch with a rich history. Known for its durability and water resistance, it's a symbol of adventure and exploration.",mens-watches,13999.99,Rolex,"rolex submariner watch. mens-watches. the rolex submariner is a legendary dive watch with a rich history. known for its durability and water resistance, it's a symbol of adventure and exploration."
99,Amazon Echo Plus,The Amazon Echo Plus is a smart speaker with built-in Alexa voice control. It features premium sound quality and serves as a hub for controlling smart home devices.,mobile-accessories,99.99,Amazon,amazon echo plus. mobile-accessories. the amazon echo plus is a smart speaker with built-in alexa voice control. it features premium sound quality and serves as a hub for controlling smart home devices.
100,Apple Airpods,"The Apple Airpods offer a seamless wireless audio experience. With easy pairing, high-quality sound, and Siri integration, they are perfect for on-the-go listening.",mobile-accessories,129.99,Apple,"apple airpods. mobile-accessories. the apple airpods offer a seamless wireless audio experience. with easy pairing, high-quality sound, and siri integration, they are perfect for on-the-go listening."
